Вид транспорта;Класс ТС;Транспорт;Пробег,км;Пробег по ПЛ, км;delta Пробег;delta Пробег, % (Пробег/ПЛ);Время в наряде, ч;Время ДВС, ч;Время работы по ПЛ, ч;delta Работа;delta Работа, % (ДВС/Пробег ПЛ);Факт. расход, л;Расход по ПЛ, л;delta Расход;delta Расход, % (Факт/ПЛ);Заправки, л;Заправки по ПЛ, л;delta Заправки;delta Заправки, % (Факт/ПЛ);Время ДО, ч;Работа ДО по ПЛ, ч;delta ДО;delta ДО, % (Факт/ПЛ)
Автотранспорт;Лаборатория с ДЭС;Камаз_лаб-ия_к807ху_174397;511,8;4 812,0;-4 300,2;89,36400846192;7 288,5;110,45;1 212,62;-1 102,2;0,908915980593;3 008,3;5 988,1;-2 979,8;0,4976222777466;3 034,6;4 383,0;-1 348,4;0,3076431667807;3 290,4;398,7;2 891,7;-725,4%
Спецтехника;Бульдозер;SHANTUI SD16F(63)_ак7315_174336;0,0;0,0;0,0;0,00000000000;3 457,0;2 480,51;844,00;1 636,5;-1,938993878357;9 411,8;29 642,7;-20 230,9;0,6824912752402;9 317,0;29 747,2;-20 430,2;0,6867935247578;Нет ДО;78,5;-;-
Спецтехника;Бульдозер;ZOOMLION ZD160S-3(70)_ак4965_бульд_174215;0,0;0,0;0,0;0,00000000000;2 233,0;912,62;810,00;102,6;-0,126687585734;156,4;17 195,7;-17 039,3;0,9909046976306;290,8;17 494,0;-17 203,2;0,9833771578827;Нет ДО;71,3;-;-
Спецтехника;Бульдозер;SHANTUI SD16F(64)_ак7316_174398;0,0;0,0;0,0;0,00000000000;3 669,0;2 554,53;863,00;1 691,5;-1,960057615553;8 625,5;27 891,2;-19 265,7;0,6907451945485;8 542,0;27 764,0;-19 222,0;0,6923353983576;Нет ДО;71,2;-;-
Спецтехника;Бульдозер;SHANTUI SD17(67)_ан0138_175716;0,0;0,0;0,0;0,00000000000;3 414,6;2 222,50;830,00;1 392,5;-1,677706492637;6 245,6;24 103,0;-17 857,4;0,7408783294810;6 145,4;23 723,0;-17 577,6;0,7409518189099;Нет ДО;66,5;-;-
Спецтехника;Бульдозер;SHANTUI SD16F(61)_ае5298_174035;0,0;0,0;0,0;0,00000000000;3 338,0;1 859,44;663,00;1 196,4;-1,804586475616;4 519,3;24 306,6;-19 787,3;0,8140706928791;4 739,2;24 142,0;-19 402,8;0,8036948057327;Нет ДО;59,9;-;-
Спецтехника;Бульдозер;ZOOMLION ZD160S-3(74)_ае8881_174147;0,0;0,0;0,0;0,00000000000;1 388,0;766,06;732,00;34,1;-0,046536505768;8,6;9 928,7;-9 920,1;0,9991338267835;139,8;10 154,0;-10 014,2;0,9862320267875;Нет ДО;54,0;-;-
Спецтехника;Бульдозер;ZOOMLION ZD160S-3(71)_ак4966_бульд_174214;0,0;0,0;0,0;0,00000000000;2 233,0;1 271,77;941,00;330,8;-0,351512575275;262,2;11 971,2;-11 709,0;0,9780974338412;319,9;12 255,0;-11 935,1;0,9738963688290;Нет ДО;46,3;-;-
Спецтехника;Буровая установка;МТЧ_урб_101_рт2069_168989;0,0;0,0;0,0;0,00000000000;3 224,0;1 095,86;409,00;686,9;-1,679367698995;1 985,4;12 040,7;-10 055,3;0,8351092544453;1 992,8;12 271,9;-10 279,1;0,8376127576007;Нет ДО;45,9;-;-
Спецтехника;Бульдозер;ZOOMLION ZD160S-3(72)_ак4968_174218;0,0;0,0;0,0;0,00000000000;2 228,0;275,52;713,00;-437,5;0,613570204145;245,9;12 827,1;-12 581,2;0,9808296198355;314,3;12 945,0;-12 630,7;0,9757203553496;Нет ДО;43,6;-;-
